num,violation_id,violation_description,category,fine_min,fine_max,currency,additional_measures,legal_basis,document_source,severity,article_number,section,fine_amount_min,fine_amount_max,additional_penalty,vehicle_type,severity_level,keywords,article_title,violation_type,description,penalty_range,source_document,amendment_type
11,dieu_5_Khoản_7_1,Vượt đèn đỏ,Vi phạm tín hiệu giao thông,4000000,6000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Trung bình,DIEU 5,Khoản 7,4000000.0,6000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Ô tô,Trung bình,"['vượt', 'đèn']",Vi phạm của người điều khiển xe ô tô,,Vượt đèn đỏ,4.000.000 - 6.000.000 VNĐ,nghi_dinh_100_2019,
12,dieu_5_Khoản_7_2,Không chấp hành hiệu lệnh của đèn tín hiệu giao thông,Vi phạm tín hiệu giao thông,4000000,6000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Trung bình,DIEU 5,Khoản 7,4000000.0,6000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Ô tô,Trung bình,"['không', 'chấp', 'hành', 'hiệu', 'lệnh', 'đèn', 'tín', 'hiệu', 'giao', 'thông']",Vi phạm của người điều khiển xe ô tô,,Không chấp hành hiệu lệnh của đèn tín hiệu giao thông,4.000.000 - 6.000.000 VNĐ,nghi_dinh_100_2019,
13,dieu_5_Khoản_8_1,Vượt xe không đúng nơi quy định,Vi phạm của người điều khiển xe ô tô,2000000,3000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 1 đến 2 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Trung bình,DIEU 5,Khoản 8,2000000.0,3000000.0,Tước quyền sử dụng giấy phép lái xe từ 1 đến 2 tháng,Ô tô,Trung bình,"['vượt', 'không', 'đúng', 'nơi', 'quy', 'định']",Vi phạm của người điều khiển xe ô tô,,Vượt xe không đúng nơi quy định,2.000.000 - 3.000.000 VNĐ,nghi_dinh_100_2019,
14,dieu_5_Khoản_8_2,Vượt xe tại khu vực cấm vượt,Vi phạm của người điều khiển xe ô tô,2000000,3000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 1 đến 2 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Trung bình,DIEU 5,Khoản 8,2000000.0,3000000.0,Tước quyền sử dụng giấy phép lái xe từ 1 đến 2 tháng,Ô tô,Trung bình,"['vượt', 'khu', 'vực', 'cấm', 'vượt']",Vi phạm của người điều khiển xe ô tô,,Vượt xe tại khu vực cấm vượt,2.000.000 - 3.000.000 VNĐ,nghi_dinh_100_2019,
15,dieu_5_Khoản_9_1,"Quay đầu xe, lùi xe trên đường cao tốc",Vi phạm của người điều khiển xe ô tô,6000000,8000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 4 đến 6 tháng,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Trung bình,DIEU 5,Khoản 9,6000000.0,8000000.0,Tước quyền sử dụng giấy phép lái xe từ 4 đến 6 tháng,Ô tô,Trung bình,"['quay', 'đầu', 'lùi', 'đường', 'cao', 'tốc']",Vi phạm của người điều khiển xe ô tô,,"Quay đầu xe, lùi xe trên đường cao tốc",6.000.000 - 8.000.000 VNĐ,nghi_dinh_100_2019,
16,dieu_5_Khoản_10_1,Rẽ trái không đúng quy định,Vi phạm của người điều khiển xe ô tô,1200000,1500000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Nhẹ,DIEU 5,Khoản 10,1200000.0,1500000.0,,Ô tô,Nhẹ,"['trái', 'không', 'đúng', 'quy', 'định']",Vi phạm của người điều khiển xe ô tô,,Rẽ trái không đúng quy định,1.200.000 - 1.500.000 VNĐ,nghi_dinh_100_2019,
17,dieu_5_Khoản_10_2,Chuyển làn không đúng quy định,Vi phạm của người điều khiển xe ô tô,1200000,1500000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 5,nghi_dinh_100_2019,Nhẹ,DIEU 5,Khoản 10,1200000.0,1500000.0,,Ô tô,Nhẹ,"['chuyển', 'làn', 'không', 'đúng', 'quy', 'định']",Vi phạm của người điều khiển xe ô tô,,Chuyển làn không đúng quy định,1.200.000 - 1.500.000 VNĐ,nghi_dinh_100_2019,
18,dieu_6_Khoản_1_1,Không đội mũ bảo hiểm,Vi phạm an toàn,200000,300000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Nhẹ,DIEU 6,Khoản 1,200000.0,300000.0,,Ô tô,Nhẹ,"['không', 'đội', 'bảo', 'hiểm']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Không đội mũ bảo hiểm,200.000 - 300.000 VNĐ,nghi_dinh_100_2019,
19,dieu_6_Khoản_1_2,Đội mũ bảo hiểm không cài quai đúng quy cách,Vi phạm an toàn,200000,300000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Nhẹ,DIEU 6,Khoản 1,200000.0,300000.0,,Ô tô,Nhẹ,"['đội', 'bảo', 'hiểm', 'không', 'cài', 'quai', 'đúng', 'quy', 'cách']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Đội mũ bảo hiểm không cài quai đúng quy cách,200.000 - 300.000 VNĐ,nghi_dinh_100_2019,
20,dieu_6_Khoản_1_3,Sử dụng mũ bảo hiểm không đúng quy cách,Vi phạm an toàn,200000,300000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Nhẹ,DIEU 6,Khoản 1,200000.0,300000.0,,Ô tô,Nhẹ,"['dụng', 'bảo', 'hiểm', 'không', 'đúng', 'quy', 'cách']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Sử dụng mũ bảo hiểm không đúng quy cách,200.000 - 300.000 VNĐ,nghi_dinh_100_2019,
21,dieu_6_Khoản_2_1,Vượt tốc độ cho phép dưới 10 km/h,Ô tô - Vi phạm tốc độ,400000,600000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Nhẹ,DIEU 6,Khoản 2,400000.0,600000.0,,Ô tô,Nhẹ,"['vượt', 'tốc', 'phép', 'dưới']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Vượt tốc độ cho phép dưới 10 km/h,400.000 - 600.000 VNĐ,nghi_dinh_100_2019,
22,dieu_6_Khoản_3_1,Vượt tốc độ cho phép từ 10 km/h đến dưới 20 km/h,Ô tô - Vi phạm tốc độ,800000,1000000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Nhẹ,DIEU 6,Khoản 3,800000.0,1000000.0,,Ô tô,Nhẹ,"['vượt', 'tốc', 'phép', 'dưới']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Vượt tốc độ cho phép từ 10 km/h đến dưới 20 km/h,800.000 - 1.000.000 VNĐ,nghi_dinh_100_2019,
23,dieu_6_Khoản_4_1,Vượt tốc độ cho phép từ 20 km/h đến dưới 35 km/h,Ô tô - Vi phạm tốc độ,1200000,1500000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 1 đến 3 tháng,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Nhẹ,DIEU 6,Khoản 4,1200000.0,1500000.0,Tước quyền sử dụng giấy phép lái xe từ 1 đến 3 tháng,Ô tô,Nhẹ,"['vượt', 'tốc', 'phép', 'dưới']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Vượt tốc độ cho phép từ 20 km/h đến dưới 35 km/h,1.200.000 - 1.500.000 VNĐ,nghi_dinh_100_2019,
24,dieu_6_Khoản_5_1,Vượt tốc độ cho phép từ 35 km/h trở lên,Ô tô - Vi phạm tốc độ,4000000,6000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 4 đến 6 tháng,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Trung bình,DIEU 6,Khoản 5,4000000.0,6000000.0,Tước quyền sử dụng giấy phép lái xe từ 4 đến 6 tháng,Ô tô,Trung bình,"['vượt', 'tốc', 'phép', 'trở', 'lên']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Vượt tốc độ cho phép từ 35 km/h trở lên,4.000.000 - 6.000.000 VNĐ,nghi_dinh_100_2019,
25,dieu_6_Khoản_6_1,Vượt đèn đỏ,Vi phạm tín hiệu giao thông,4000000,6000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 1 đến 3 tháng,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Trung bình,DIEU 6,Khoản 6,4000000.0,6000000.0,Tước quyền sử dụng giấy phép lái xe từ 1 đến 3 tháng,Ô tô,Trung bình,"['vượt', 'đèn']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Vượt đèn đỏ,4.000.000 - 6.000.000 VNĐ,nghi_dinh_100_2019,
26,dieu_6_Khoản_6_2,Không chấp hành hiệu lệnh của đèn tín hiệu giao thông,Vi phạm tín hiệu giao thông,4000000,6000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 1 đến 3 tháng,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Trung bình,DIEU 6,Khoản 6,4000000.0,6000000.0,Tước quyền sử dụng giấy phép lái xe từ 1 đến 3 tháng,Ô tô,Trung bình,"['không', 'chấp', 'hành', 'hiệu', 'lệnh', 'đèn', 'tín', 'hiệu', 'giao', 'thông']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Không chấp hành hiệu lệnh của đèn tín hiệu giao thông,4.000.000 - 6.000.000 VNĐ,nghi_dinh_100_2019,
27,dieu_6_Khoản_7_1,Không có giấy phép lái xe,Vi phạm giấy phép lái xe,4000000,6000000,VNĐ,Tạm giữ phương tiện,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Trung bình,DIEU 6,Khoản 7,4000000.0,6000000.0,Tạm giữ phương tiện,Ô tô,Trung bình,"['không', 'giấy', 'phép', 'lái']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Không có giấy phép lái xe,4.000.000 - 6.000.000 VNĐ,nghi_dinh_100_2019,
28,dieu_6_Khoản_7_2,Sử dụng giấy phép lái xe không phù hợp với loại xe được phép điều khiển,Vi phạm giấy phép lái xe,4000000,6000000,VNĐ,Tạm giữ phương tiện,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Trung bình,DIEU 6,Khoản 7,4000000.0,6000000.0,Tạm giữ phương tiện,Ô tô,Trung bình,"['dụng', 'giấy', 'phép', 'lái', 'không', 'phù', 'hợp', 'loại', 'phép', 'điều']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Sử dụng giấy phép lái xe không phù hợp với loại xe được phép điều khiển,4.000.000 - 6.000.000 VNĐ,nghi_dinh_100_2019,
29,dieu_6_Khoản_8_1,Sử dụng điện thoại di động khi đang điều khiển xe,Vi phạm của người điều khiển xe ô tô,600000,800000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Nhẹ,DIEU 6,Khoản 8,600000.0,800000.0,,Ô tô,Nhẹ,"['dụng', 'điện', 'thoại', 'động', 'đang', 'điều', 'khiển']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Sử dụng điện thoại di động khi đang điều khiển xe,600.000 - 800.000 VNĐ,nghi_dinh_100_2019,
30,dieu_6_Khoản_9_1,Không giữ khoảng cách an toàn,Vi phạm của người điều khiển xe ô tô,300000,500000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Nhẹ,DIEU 6,Khoản 9,300000.0,500000.0,,Ô tô,Nhẹ,"['không', 'giữ', 'khoảng', 'cách', 'toàn']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,Không giữ khoảng cách an toàn,300.000 - 500.000 VNĐ,nghi_dinh_100_2019,
31,dieu_6_Khoản_10_1,"Điều khiển xe trong tình trạng buồn ngủ, say rượu bia",Vi phạm nồng độ cồn,2000000,3000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 3 tháng,Nghị định 100/2019/NĐ-CP - DIEU 6,nghi_dinh_100_2019,Trung bình,DIEU 6,Khoản 10,2000000.0,3000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 3 tháng,Ô tô,Trung bình,"['điều', 'khiển', 'tình', 'trạng', 'buồn', 'ngủ', 'say', 'rượu', 'bia']","Vi phạm của người điều khiển xe mô tô, xe gắn máy",,"Điều khiển xe trong tình trạng buồn ngủ, say rượu bia",2.000.000 - 3.000.000 VNĐ,nghi_dinh_100_2019,
32,dieu_7_Khoản_1_1,Không thắt dây an toàn khi lái xe ô tô,Vi phạm giấy phép lái xe,800000,1000000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 7,nghi_dinh_100_2019,Nhẹ,DIEU 7,Khoản 1,800000.0,1000000.0,,Ô tô,Nhẹ,"['không', 'thắt', 'dây', 'toàn', 'lái']",Vi phạm quy định về điều khiển xe ô tô,,Không thắt dây an toàn khi lái xe ô tô,800.000 - 1.000.000 VNĐ,nghi_dinh_100_2019,
33,dieu_7_Khoản_1_2,Không có dây an toàn cho hành khách,Vi phạm của người điều khiển xe ô tô,800000,1000000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 7,nghi_dinh_100_2019,Nhẹ,DIEU 7,Khoản 1,800000.0,1000000.0,,Ô tô,Nhẹ,"['không', 'dây', 'toàn', 'hành', 'khách']",Vi phạm quy định về điều khiển xe ô tô,,Không có dây an toàn cho hành khách,800.000 - 1.000.000 VNĐ,nghi_dinh_100_2019,
34,dieu_7_Khoản_2_1,Điều khiển xe khi có biểu hiện say rượu bia,Vi phạm nồng độ cồn,6000000,8000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 10 đến 12 tháng,Nghị định 100/2019/NĐ-CP - DIEU 7,nghi_dinh_100_2019,Trung bình,DIEU 7,Khoản 2,6000000.0,8000000.0,Tước quyền sử dụng giấy phép lái xe từ 10 đến 12 tháng,Ô tô,Trung bình,"['điều', 'khiển', 'biểu', 'hiện', 'say', 'rượu', 'bia']",Vi phạm quy định về điều khiển xe ô tô,,Điều khiển xe khi có biểu hiện say rượu bia,6.000.000 - 8.000.000 VNĐ,nghi_dinh_100_2019,
35,dieu_7_Khoản_3_1,Điều khiển xe trong tình trạng có nồng độ cồn vượt quá mức cho phép,Vi phạm nồng độ cồn,16000000,18000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 22 đến 24 tháng; Tước phương tiện 7 ngày,Nghị định 100/2019/NĐ-CP - DIEU 7,nghi_dinh_100_2019,Nghiêm trọng,DIEU 7,Khoản 3,16000000.0,18000000.0,Tước quyền sử dụng giấy phép lái xe từ 22 đến 24 tháng; Tước phương tiện 7 ngày,Ô tô,Nghiêm trọng,"['điều', 'khiển', 'tình', 'trạng', 'nồng', 'cồn', 'vượt', 'quá', 'mức', 'phép']",Vi phạm quy định về điều khiển xe ô tô,,Điều khiển xe trong tình trạng có nồng độ cồn vượt quá mức cho phép,16.000.000 - 18.000.000 VNĐ,nghi_dinh_100_2019,
36,dieu_8_Khoản_1_1,Điều khiển xe ô tô mà không có giấy phép lái xe,Vi phạm giấy phép lái xe,12000000,14000000,VNĐ,Tước phương tiện 7 ngày,Nghị định 100/2019/NĐ-CP - DIEU 8,nghi_dinh_100_2019,Nghiêm trọng,DIEU 8,Khoản 1,12000000.0,14000000.0,Tước phương tiện 7 ngày,Ô tô,Nghiêm trọng,"['điều', 'khiển', 'không', 'giấy', 'phép', 'lái']",Vi phạm quy định về giấy tờ của người điều khiển và của xe,,Điều khiển xe ô tô mà không có giấy phép lái xe,12.000.000 - 14.000.000 VNĐ,nghi_dinh_100_2019,
37,dieu_8_Khoản_2_1,Điều khiển xe mô tô không có giấy phép lái xe,Vi phạm giấy phép lái xe,4000000,5000000,VNĐ,Tước phương tiện 7 ngày,Nghị định 100/2019/NĐ-CP - DIEU 8,nghi_dinh_100_2019,Trung bình,DIEU 8,Khoản 2,4000000.0,5000000.0,Tước phương tiện 7 ngày,Ô tô,Trung bình,"['điều', 'khiển', 'không', 'giấy', 'phép', 'lái']",Vi phạm quy định về giấy tờ của người điều khiển và của xe,,Điều khiển xe mô tô không có giấy phép lái xe,4.000.000 - 5.000.000 VNĐ,nghi_dinh_100_2019,
38,dieu_8_Khoản_3_1,Không có giấy đăng ký xe,Vi phạm giao thông khác,400000,600000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 8,nghi_dinh_100_2019,Nhẹ,DIEU 8,Khoản 3,400000.0,600000.0,,,Nhẹ,"['không', 'giấy', 'đăng']",Vi phạm quy định về giấy tờ của người điều khiển và của xe,,Không có giấy đăng ký xe,400.000 - 600.000 VNĐ,nghi_dinh_100_2019,
39,dieu_8_Khoản_3_2,Sử dụng giấy đăng ký xe giả,Vi phạm giao thông khác,400000,600000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 8,nghi_dinh_100_2019,Nhẹ,DIEU 8,Khoản 3,400000.0,600000.0,,,Nhẹ,"['dụng', 'giấy', 'đăng', 'giả']",Vi phạm quy định về giấy tờ của người điều khiển và của xe,,Sử dụng giấy đăng ký xe giả,400.000 - 600.000 VNĐ,nghi_dinh_100_2019,
40,dieu_8_Khoản_4_1,Không có giấy kiểm định an toàn kỹ thuật và bảo vệ môi trường,Vi phạm giao thông khác,800000,1000000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 8,nghi_dinh_100_2019,Nhẹ,DIEU 8,Khoản 4,800000.0,1000000.0,,,Nhẹ,"['không', 'giấy', 'kiểm', 'định', 'toàn', 'thuật', 'bảo', 'môi', 'trường']",Vi phạm quy định về giấy tờ của người điều khiển và của xe,,Không có giấy kiểm định an toàn kỹ thuật và bảo vệ môi trường,800.000 - 1.000.000 VNĐ,nghi_dinh_100_2019,
41,dieu_8_Khoản_5_1,Không có bảo hiểm trách nhiệm dân sự,Vi phạm an toàn,400000,500000,VNĐ,,Nghị định 100/2019/NĐ-CP - DIEU 8,nghi_dinh_100_2019,Nhẹ,DIEU 8,Khoản 5,400000.0,500000.0,,,Nhẹ,"['không', 'bảo', 'hiểm', 'trách', 'nhiệm', 'dân']",Vi phạm quy định về giấy tờ của người điều khiển và của xe,,Không có bảo hiểm trách nhiệm dân sự,400.000 - 500.000 VNĐ,nghi_dinh_100_2019,
42,dieu_9_Khoản_1_1,Chở hàng vượt tải trọng cho phép,Vi phạm tải trọng,5000000,7000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 9,nghi_dinh_100_2019,Trung bình,DIEU 9,Khoản 1,5000000.0,7000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,,Trung bình,"['chở', 'hàng', 'vượt', 'tải', 'trọng', 'phép']","Vi phạm quy định về chở hàng, chở người",,Chở hàng vượt tải trọng cho phép,5.000.000 - 7.000.000 VNĐ,nghi_dinh_100_2019,
43,dieu_9_Khoản_1_2,Chở hàng có kích thước vượt quá quy định,Vi phạm giao thông khác,5000000,7000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,Nghị định 100/2019/NĐ-CP - DIEU 9,nghi_dinh_100_2019,Trung bình,DIEU 9,Khoản 1,5000000.0,7000000.0,Tước quyền sử dụng giấy phép lái xe từ 2 đến 4 tháng,,Trung bình,"['chở', 'hàng', 'kích', 'thước', 'vượt', 'quá', 'quy', 'định']","Vi phạm quy định về chở hàng, chở người",,Chở hàng có kích thước vượt quá quy định,5.000.000 - 7.000.000 VNĐ,nghi_dinh_100_2019,
44,dieu_9_Khoản_2_1,Chở quá số người quy định,Vi phạm tải trọng,3000000,5000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 1 đến 3 tháng,Nghị định 100/2019/NĐ-CP - DIEU 9,nghi_dinh_100_2019,Trung bình,DIEU 9,Khoản 2,3000000.0,5000000.0,Tước quyền sử dụng giấy phép lái xe từ 1 đến 3 tháng,,Trung bình,"['chở', 'quá', 'người', 'quy', 'định']","Vi phạm quy định về chở hàng, chở người",,Chở quá số người quy định,3.000.000 - 5.000.000 VNĐ,nghi_dinh_100_2019,
45,dieu_9_Khoản_2_2,Để hành khách đứng trên xe,Vi phạm giao thông khác,3000000,5000000,VNĐ,Tước quyền sử dụng giấy phép lái xe từ 1 đến 3 tháng,Nghị định 100/2019/NĐ-CP - DIEU 9,nghi_dinh_100_2019,Trung bình,DIEU 9,Khoản 2,3000000.0,5000000.0,Tước quyền sử dụng giấy phép lái xe từ 1 đến 3 tháng,,Trung bình,"['hành', 'khách', 'đứng']","Vi phạm quy định về chở hàng, chở người",,Để hành khách đứng trên xe,3.000.000 - 5.000.000 VNĐ,nghi_dinh_100_2019,
